,baseMean,foldChange,log2FoldChange,lfcSE,stat,PValue,PAdj,FDR,falsePos
ZNF446,159.891127106671,1.48805976845956,0.573432473978542,0.142019003041244,4.03771651468367,5.39740215474167e-05,0.738850380962587,0.000136251017206805,0.941630779916231
ME2,1476.45400782533,0.844310573835296,-0.244154312882155,0.0604774021535682,-4.03711641353547,5.41122208030186e-05,0.740688078351718,0.000136580122125211,0.944041804129462
GTF2F1,1914.51336704908,1.13852282028848,0.187163208810561,0.0463707809234439,4.03623154674835,5.4316611455338e-05,0.743431460989211,0.000137076175820892,0.947607603449827
PRLR,1393.11855572077,1.17516794115526,0.232866944499697,0.0576985009409074,4.03592711599545,5.43870992415525e-05,0.744341840219887,0.000137234210785092,0.948837333368125
EI24,4870.60708435615,0.897013855038793,-0.156797826084645,0.0388596919271554,-4.0349734727329,5.46084668329561e-05,0.747316868609004,0.000137772857898446,0.952699312367752
CYB5B,3615.53347558224,0.891562520629986,-0.165592124810289,0.0410458980804475,-4.03431603532558,5.47615734645888e-05,0.749357371289434,0.000138139157123079,0.955370410663217
PIGU,933.066640298871,1.21280329238877,0.278345575101281,0.0690019343161815,4.03388075797762,5.48631662496462e-05,0.750692703793909,0.000138375422638619,0.957142798391328
ANKRA2,189.443572752485,1.49188672843294,0.577138003065266,0.143078415686964,4.03371815583955,5.49011630236e-05,0.751157712488896,0.00013845124170421,0.957805690109726
MZT2B,169.630345025794,0.684277749583411,-0.547346058355796,0.135702969932602,-4.03341252315731,5.49726505735429e-05,0.75208083249664,0.000138611484594021,0.959052861906029
FAM161A,160.896536716429,1.48675711889463,0.572168983647122,0.141866649741585,4.0331465125126,5.50349422904828e-05,0.752878010533805,0.00013874849757222,0.960139603199763
EXOSC9,839.023585357417,0.801034686319071,-0.32006337947305,0.07936639733925,-4.03273161190554,5.51322330763528e-05,0.75415381625143,0.000138973694299964,0.961836938250051
PLA2G3,10.6874090584805,0.176506051873312,-2.50221044477372,0.620531262687545,-4.03236806141975,5.52176165950899e-05,0.755266559787639,0.000139168815243851,0.963326539117938
SGCB,519.299250834209,1.24715702668703,0.318643123034787,0.0790557292506839,4.03061392330437,5.56313571026866e-05,0.760870071093445,0.000140191341327961,0.970544656013471
RNF149,1030.03998322986,1.21741453687415,0.283820497929376,0.0704230047449097,4.03022419957011,5.5723677326938e-05,0.762077011123204,0.000140403708065534,0.972155274645761
RINT1,756.420833078669,1.2197110450111,0.286539407374006,0.0711166577630546,4.02914614363197,5.5979810627412e-05,0.765523910329859,0.000141028704145246,0.97662377620583
STK36,788.933169140652,1.20667062220387,0.271031925834198,0.0672743571663784,4.02875534230524,5.607293549862e-05,0.76674132000813,0.000141242915493636,0.978248432708924
DOCK7,1336.50534220812,0.853648571791161,-0.228285828415022,0.0566739594718697,-4.02805504578047,5.62401778365668e-05,0.768971951559378,0.000141643733584054,0.981166142536745
PCDHGA5,14.9283594016967,0.201333238378789,-2.31234272647447,0.574168675950487,-4.02728818782492,5.64238581027487e-05,0.77142698798078,0.000142085829743152,0.984370628460554
SKIV2L2,1503.38891994686,0.841906354133061,-0.248268324708904,0.0616571449369831,-4.02659456519836,5.65904861144867e-05,0.773648535671148,0.000142484863725406,0.987277620753335
SWSAP1,169.156892162082,1.45522532117471,0.541242551466083,0.134419543841522,4.02651679955257,5.66091966799313e-05,0.773806461937876,0.000142493671906791,0.98748114631406
CDIPT,947.299770037821,1.18598934025568,0.246091042911418,0.0611176707861279,4.02651213218804,5.6610319843286e-05,0.773806461937876,0.000142493671906791,0.987623639985967
